en,ko
We are the crowd,우리가 관중이야
"But we are never, ever, ever, ever getting back together","하지만 우리는 절대로, 절대로, 절대로 다시 함께하지 않아"
I know you need a little while to believe again,다시 믿기 위해 조금 시간이 필요하단 걸 알아
"A summer's disregard, a broken bottle top","무관심한 여름, 깨진 병뚜껑"
They're makin' me takin' the blame,그들은 내게 죄를 뒤집어씌워
Sun sinks down,태양이 지고
Lose what we are,우리가 어떤 걸 잃는다면
"When the going is rough, saying",힘들 때면 말해
Why we keep coming back for more,왜 우린 계속 더 원하러 돌아오는 걸까
"I wanna stay right here all night, baby, all night, alright","난 여기서 밤새 머물고 싶어, 베이비, 밤새, 알겠어"
"We're going out of bounds (take me out of bounds, ay)","우린 한계를 넘고 있어 (날 한계 밖으로 데려가 줘, 에이)"
"So many nights I thought it over, told myself I kinda liked her","수많은 밤을 곱씹었고, 난 그녀가 좀 좋다고 말했어"
And now you're in the stars and six-feet's never felt so far,이제 넌 별들 속에 있고 6피트는 이렇게 멀게 느껴진 적이 없었어
Now I know I've got my own charm,이제 내 매력이 뭔지 알게 됐어
"Tell me, is that deja vu?","말해줘, 이건 데자뷔야?"
You think it's so easy fucking with my feelings,내 감정 갖고 놀기는 쉬운 줄 알지
If only you saw what I can see,네가 내가 보는 걸 볼 수만 있다면
I am tired of this stuff,이 모든 것들에 지쳤어
Don't you dare touch that dial,그 다이얼 건드리지 마
"I'ma touch you right, ooh yeah (Just let me sip this slow)","널 제대로 만질 거야, 오 예 (천천히 한 모금만)"
When you only wanna do me dirty?,넌 나한테 못되게 굴기만 원할 때?
"Some things just, some things just make sense",어쩐지 몇몇 일들은 그냥 자연스럽게 맞아떨어져
Ohh no,오 안 돼
"I want it bad, your bad romance",난 네 나쁜 로맨스를 강하게 원해
"There's a million you's baby boo, so don't be dumb","너 같은 사람은 수백만이 있어, 그러니 어리석게 굴지 마"
Get it over with,끝내 버려
If you give me a hand,네가 내 손을 잡아준다면
I'm gonna drink my tears tonight,오늘 밤 내 눈물을 마실 거야
Small town boy in a big arcade,큰 오락실 속의 작은 시골 소년
Wanna see us,우릴 보고 싶어 해
Loving you is cherry pie,널 사랑하는 건 체리 파이 같아
"I will not beg you, please","난 널 구걸하지 않을 거야, 부탁해"
This is more than a season,이건 단순한 계절 이상의 거야
I think I know we're a little hot now (feel mature with my pride),우리가 조금 뜨거워진 걸 알아 (내 자존심으로 성숙해져)
So this one's for all the lost children,그래서 이건 길 잃은 모든 아이들을 위한 거야
Then forever can begin,그러면 영원도 시작될 수 있어
Soon you should tell me or I might be gone,"곧 말해줘야 해, 안 그러면 내가 떠날지도 몰라"
"Sunsets, they ain't got nothing on you","노을, 그건 너에겐 아무것도 못 돼"
"Chasing for the clout, go all out for it","명성을 쫓아, 전력을 다해"
"Baby I would die for you, yeah babe","베이비, 널 위해 죽을 수도 있어, 응 베이비"
And from a velvet sky,벨벳 같은 하늘에서
I love the way (I love the way you make me feel),난 그 방식을 사랑해 (네가 날 느끼게 하는 방식)
Sitting upside a high chair,높은 의자에 거꾸로 앉아
"I bet you, I bet you, I bet you wanna","내가 장담해, 내가 장담해, 네가 원하게 될 거야"
"So save it, get gone, shut up","그러니 아껴둬, 꺼져, 닥쳐"
"Don't you give up, nah-nah-nah","포기하지 마, 나나"
"Show up, now if you're down to, roll up","나오렴, 준비됐으면, 굴러와"
I want you to know that,내가 네게 알려주고 싶어
I bloom just for you,"난 피어나, 단지 너를 위해"
"Yes, I been used to being used like this","그래, 나는 이렇게 사용되는 것에 익숙해졌어"
Now you put the blame in (now you put the blame in),이제 넌 내 빌어먹을 인생에 책임을 돌리네 (이제 책임을 돌리네)
Enjoy your privileged life,특권 있는 삶을 즐겨
Make that the old me,그건 옛날의 나로 만들어줘
Even though that's just the way I am,비록 그게 그냥 나일지라도
"Oh, let's go back to the start","오, 시작으로 돌아가자"
"Yeah, you've got something they don't","그래, 넌 그들이 가지지 못한 걸 가졌어"
Been so high lately I don't care who's goin' down,요즘 너무 취해 누가 쓰러지는지 신경 안 써
"Baby, break me","베이비, 날 부숴버려"
"Thought I knew for a minute, but I don't anymore","잠시 알았다고 생각했는데, 이제는 전혀 모르겠어"
Love over,사랑을 넘어
Comparing all the girls who are killing it,성공하는 모든 여자들을 비교하고
And it led me to a miracle,그리고 그건 기적으로 이끌었어
We could be homeless,우린 홈리스가 될 수도 있어
"Can't deny, can't deny you're worth it","부정할 수 없어, 넌 그만한 가치가 있어"
And I need someone to hold onto,붙들 사람이 필요해
And you look up and give me those eyes,그리고 올려다보며 그 눈빛을 줘
Of who can act like they care less,누가 더 무심한 척할 수 있는지에 대해
What is this I'm feeling?,이게 무슨 기분이지?
Gonna get it,얻어내려 해
And I believe her when she speaks,그녀가 말할 때 난 그녀를 믿어
Everyone's gathering around the fire,모두가 불가에 모여들어
There's no one to call 'cause I'm just playing games with them all,"전화할 사람도 없어, 난 모두와 게임만 하고 있어"
Could make you sing like a bird released,새로 풀려난 새처럼 널 노래하게 할 수 있어
Who stole the soul from the sun,누가 태양에서 영혼을 훔쳤나
Not to mention the way you are within,네 안에 있는 그 모든 것까지
Build a house or sink a dead body,집을 짓거나 시체를 숨기거나
"Spliff in her mouth, age up the chalice","그녀 입에 스플리프, 잔을 들어 올려"
To stop me from falling in,날 빠지지 않게 막으려고
I can't remember to forget you,널 잊으려 해도 기억이 안 나
On an open sea,탁 트인 바다 위에서
You never want to know how much you weight,넌 자신의 몸무게가 얼마인지 알고 싶어하지 않아
"So call out my name when I kiss you, so gently",그러니 내가 부드럽게 키스할 때 내 이름을 불러줘
"Alejandro, just let me go","알레한드로, 그냥 날 보내줘"
But I'ma be under the mistletoe,하지만 난 겨우살이 아래에 있을 거야
Chasin' shadows in the grocery line,식료품 줄에서 그림자를 쫓기
"You come and pick me up, no headlights",넌 헤드라이트도 없이 날 데리러 와
When she finds out,그녀가 알게 되면
"Oh, be forever mine, you and I","오, 영원히 내 사람 되어줘, 너와 나"
You don't gotta ask me,물어볼 필요 없어
"I made a joke, ""Well, it's made for me","농담을 했지, ""글쎄, 이건 나를 위해 만들어졌네"
Is this a place that I call home?,여기가 내가 집이라고 부를 곳일까?
Wishing the card was from you,카드가 네게서 오길 바라고 있어
"Hurts like heaven, lost in the sound","천국처럼 아픈, 그 소리 속에 길을 잃었어"
"I'll fly you to it, I'll beat you there","널 거기까지 태워다 줄게, 먼저 도착할게"
"And in the bad times, I fear myself","힘든 시절에, 나는 나 자신을 두려워해"
Never losing sight,시선을 잃지 않아
Don't look at me like that,그렇게 보지 마
"I just want to love you, and treat you right","그냥 널 사랑하고, 잘 대하고 싶어"
"I don't deserve it, I know I don't deserve it","난 그럴 자격 없어, 내가 자격 없다는 걸 알아"
I just wanna feel the ground when I'm coming down,내가 내려올 때 땅을 느끼고 싶어
The reason that the sky is blue,하늘이 파란 이유는
"Girl, you always catch me at the bad time (bad time)","소녀야, 넌 항상 나쁜 순간에 날 붙잡아 (나쁜 순간에)"
I know I'm super fly (I know it),난 내가 슈퍼 플라이란 걸 알아 (알아)
Run a number on man and woman that crossed him,그를 넘은 남자와 여자를 계산해봐
You know sometimes,때론 알잖아
It ain't nobody's business,그건 아무도 신경 쓸 일이 아니야
Under the moonlight you see a sight that almost stops,달빛 아래서 거의 숨이 멎을 광경을 보게 돼
You and I'll be safe and sound,너와 난 안전하고 평온할 거야
"Look like you playing for the win, oh, baby","마치 승리를 위해 뛰는 것 같아, 오, 자기야"
"But don't look back in anger"" I heard you say","하지만 화내며 돌아보지 마""라고 네가 말했어"
"A game that I know all too well now (easy girl, you know I'm sorry)","내가 너무 잘 아는 게임이야 (쉬운 여자, 미안해)"
Is midnight is so near,자정이 너무 가까워
"Merry Christmas, Kwanza, Happy Hanukkah","메리 크리스마스, 콴자, 해피 하누카"
Que ya no hay marcha atrás,이제는 되돌릴 수 없어
"Kodak, Kodak","코닥, 코닥"
But if you leave me now,하지만 넌 지금 날 떠난다면
"Girl, when the going gets mean","여자야, 상황이 험해질 때"
"Cause it's my business, God as my witness","왜냐면 그건 내 일이니까, 신이 내 증인이야"
What if the miracle was even getting,기적이 그저 도달하는 것뿐이었다면 어떨까
I see it written in the stars,별들에 새겨진 걸 봐
Cause we were both young when I first saw you,처음 널 봤을 때 우린 둘 다 어렸기 때문이야
I got to do things my own way darlin,"난 내 방식대로 해야 해, 자기야"
"You're all that I need, ooh, yeah","넌 내가 필요한 전부야, 우, 그래"
I'm thinkin' 'bout you (I do),난 너를 생각하고 있어 (정말 그래)
Just promise you'll remember when the sky is grey,하늘이 흐릴 때 기억하겠다고 약속해줘
Never had much faith in love or miracles,사랑이나 기적을 거의 믿지 않았어 (오)
"Ooh, now I'll make you feel","오, 이제 널 느끼게 해줄게"
"I played my best for him, pa-rum-pa-pum-pum","그를 위해 최선을 다해 연주했어, 파-럼-파-펌-펌"
And stop talking about you,그리고 넌 네 얘기를 그만할 거야
"Yeah, we were riding a wave, and trying not to drown","그래, 우리는 파도를 타고 있었고, 빠져 죽지 않으려 애썼지"
Reminiscing about these better days,이 더 좋았던 날들을 회상하며
Why does Wednesday come after Tuesday?,왜 수요일은 화요일 다음에 올까?
Chestnuts roasting on an open fire,모닥불 위에서 밤송이가 구워지고
You admitted it once I submitted it wrapped in plastic,네가 한 번 인정했을 때 넌 플라스틱에 싸인 걸 내가 제출했어
When you're in their top 5,네가 그들의 상위 5명 안에 있을 때
And the world we once believed in will shine again in grace,우리가 한때 믿었던 세상이 은혜로 다시 빛날 거야
"It's the best seat, in the best room",최고의 방에서 최고의 자리야
It's a wild and beautiful fire,그건 거칠고 아름다운 불이야.
"Doesn't matter, 'cause you give me temptation","중요하지 않아, 네가 날 유혹하니까"
But I remember how it was back then,하지만 그때 어땠는지 기억해
All my diamonds custom so they clutchin' and they touchin' on me,내 모든 다이아몬드는 주문 제작이라 그들이 내게 달라붙고 닿아
And she'll always get the best of me,그리고 그녀는 항상 나를 압도할 거야
When I wake up,깨어날 때
And for a couple of months,그리고 몇 달간
Maybe you'll get what you wanted,네가 원하던 걸 얻을지도 몰라
Forever isn't for everyone,영원은 모든 이를 위한 게 아니야
Maybe you just hate the thought of me with someone new,아마 넌 나와 누군가 새 사람과 함께 있다는 생각을 싫어할 거야
Before my heart starts to burn,내 마음이 불타기 전에
Stay by my side,내 곁에 있어줘
"(Ooh, girl, let me keep you warm)","(오, 소녀야, 내가 널 따뜻하게 해줄게)"
Paid for the life that I chose,내가 선택한 삶을 위해 비용을 냈어
Don't like your tilted stage,네 비뚤어진 무대를 좋아하지 않아
"Cause when we fall, we know how to land",넘어져도 착지할 줄 아니까
I ain't scare of nobody,난 아무도 두렵지 않아
"I've lost, I've lost","잃었어, 잃었어"
I moved out when I was 18,열여덟에 집을 떠났어
She like to lay on me and call me cozy,그녀는 나에게 기대서 나를 아늑하다고 불러 (그래)
Happy I'm alive at the same time as you,네와 같은 시대에 살아 있어 기뻐
Is all I ever asked,그게 내가 요청한 전부야
"And you gotta stop, if you know",알면 멈춰야 해
"Baby, it's a no-brainer (no-brainer)","자기야, 이건 당연한 거지 (당연한 거지)"
Our hands are gently intertwined,우리 손은 부드럽게 얽혀 있어
But the light never hits ya,하지만 빛은 널 비추지 않아
"It's true, we'll make a better day, just you and me","사실이야, 우린 더 나은 날을 만들 거야, 너와 나만 있으면"
You really turn me on (you really turn me on),넌 정말 날 흥분시켜 (넌 정말 날 흥분시켜)
"You were better, deeper","넌 더 낫고, 더 깊었어"
Don't you dare look out your window,절대 창밖을 보지 마
And you gave me the key to all your love and all your pleasure,넌 너의 모든 사랑과 기쁨의 열쇠를 내게 줬어
"Because when the sun shines, we'll shine together","태양이 빛날 때, 우린 함께 빛날 거야"
We'll have drinks and talk about things,우린 술 마시고 이런저런 얘기할 거야
A little less conversation and a little more touch my body,대화는 좀 줄이고 몸을 더 만져줘
"Whenever you doubt it, I'll be lеtting you know","네가 의심할 때마다, 내가 알려줄게"
"Tell 'em this boy wasn't meant for lovin', uh",이 소년은 사랑을 위한 존재가 아니라고 말해줘
So give it up give it up mama,"그러니 포기해, 포기해 엄마"
Before I cry,내가 울기 전에
"Pop-pops is lurkin', told her, ""Don't get nervous","팝팝이 숨어 있어, 그녀에게 말했지 ""긴장하지 마"
"It's not the same, ivory's illegal","이젠 같지 않아, 상아는 불법이야"
How long has this been goin' on,얼마나 오래 이게 계속된 거야
Chains of love got a hold on me,사랑의 사슬이 날 붙잡았어
Cause I love you just how you are,넌 그대로의 너라서 사랑해
I got my head and my heart on the dance floor,머리와 마음을 댄스 플로어에 두었어
We don't need attention,우리 관심받을 필요 없어
How did love slip away?,사랑이 어떻게 스며 사라졌지?
Just when I get on a new wave (yuh),새로운 물결에 올라탔을 때 (여)
You learn my secrets and you figure out why I'm guarded,넌 내 비밀을 알고 내가 왜 마음을 닫는지 알아
Do not speak as loud as my heart,내 심장만큼 크게 말하지 마
"Man, this must be the life",이게 바로 인생이겠지
"Rain on me, ooh","나에게 비 내려, 오오"
Stayin' up until the sunrise,일출 때까지 깨어 있어
It don't have a price,그건 가격이 매겨지지 않아
But look at where I ended up,하지만 내가 끝난 곳을 봐
"I've been gone, gone","난 사라져 있었어, 사라졌어"
"I find it dizzying (yeah, oh, yeah)","어지러울 정도야 (그래, 오, 그래)"
That you feel the way I feel,네가 내가 느끼는 걸 느끼고 있다면
"And as I arrived I thought I saw you leavin', carryin' your shoes","도착했을 때 널 떠나는 것 같았어, 신발을 들고 가는 널 본 것 같아"
Feel the heartbeat in my mind,머릿속에서 뛰는 박동을 느껴
"And I can't say no, I can't say no","난 아니라고 말할 수 없어, 난 아니라고 말할 수 없어"
"You're begging me please, but darling","넌 제발 애원하지만, 사랑아"
Don't you?,그렇지 않니?
And I love it,그리고 난 그것을 사랑해
"That without you here, life is just a lie",네가 없으면 삶은 거짓말일 뿐이야
I walked through this door when I walked through your door,내가 네 문을 통해 들어왔을 때
I hate the way that even though you know you're wrong,네가 잘못인 걸 알면서도 그런 태도가 싫어
I don't know,난 몰라
The evil of the thriller,스릴러의 사악함
Come grab my hand for solid ground,"내 손을 잡아줘, 단단한 땅으로"
I'm not a gold digger,난 골드 디거가 아냐
I didn't really want an answer anyway,사실 대답을 원한 것도 아니었어
"Oh, there's nothing more painful","오, 이보다 더 고통스러운 건 없어"
Everybody's watching,모두가 지켜보고 있어
In your bed tonight,오늘 밤 네 침대에서
And all the other girls in town won't look at you the same,그리고 이 동네 다른 여자애들은 널 똑같이 보지 않아
I'm the one I wake up thinking about,아침에 눈뜨면 가장 먼저 떠오르는 사람이 너야
I try to find a reason to pull us apart,우릴 갈라놓을 이유를 찾으려 해봤어
"I'm thinkin' 'bout you (about you, baby)","난 너를 생각하고 있어 (너를 생각해, 베이비)"
"Listen to my heart, let the rhythm control ya","내 심장 소리를 들어, 리듬이 널 지배하게 해"
"You can't outrun the way you undersold me, hey","넌 날 과소판매한 방식을 피할 수 없어, 헤이"
Remember when my heart was young?,내 마음이 젊었을 때를 기억하니?
You saw me start to believe for the first time,넌 내가 처음으로 믿기 시작하는 걸 보았지
Your palms the sweetest pain,네 손바닥은 가장 달콤한 고통
"Probably came from my inner circle, it",아마도 내 내면의 서클에서 나왔을 거야
"But you're so complicated, my heart knows better","하지만 넌 너무 복잡해, 내 심장은 더 잘 알아"
You say you're not in love no more,넌 더 이상 사랑하지 않는다고 말했잖아
"Just let me love, just let me love","그냥 내가 사랑하게 해줘, 그냥 내가 사랑하게 해줘"
"Yeah, it's not easy growin' up","그래, 크는 건 쉽지 않아"
Nobody's business,아무도 신경 쓸 일이 아니야
I play my part and you play your game,나는 내 역할을 하고 너는 네 게임을 해
Ain't nobody's business (you knock me off of my feet),아무도 상관할 일이 아니야 (넌 날 휘청이게 해)
"Loves me like I'm brand new (call it what you want, call it what you want, call it)","그는 마치 내가 새로 태어난 사람인 것처럼 날 사랑해 (네가 원하는 대로 불러, 원하는 대로 불러, 불러)"
"Pulling my head into the clouds, I'm floating off","내 머리를 구름 속으로 끌어올려, 난 떠올라"
"Tell me, how the hell could you talk?","제발, 어떻게 그걸 말할 수 있냐고 말해줘"
"Show him (woo-hoo) the letters I've been savin', yeah","내가 아껴둔 편지들을 그에게 보여줘 (우후), 그래"
I hope you both feel the sparks by the end of the drive,운전 끝에 너희 둘이 불꽃을 느끼길 바래
Do you see my face in the neighbor's lawn?,내 얼굴이 이웃 집 잔디밭에 보이니?
"You are thirsty, oh, on Thursday, baby","목요일에 넌 목말라 있네, 베이비"
"Purple, red, and yellow","보라색, 빨강, 노랑"
There's demons closing in on every side,사방에서 악마들이 다가오고 있어
And for the first time,그리고 처음으로
Rush is racing body begging,열기가 가속돼 몸이 애원해
Are you down for some of these milk and cookies?,우유와 쿠키도 좀 같이 할래?
And the story of us looks a lot like a tragedy now,우리의 이야기는 이제 비극처럼 보이네
"On my way, all the way","가는 길 위에, 끝까지"
"Always the same, and I'm through","항상 똑같아, 난 끝냈어"
Cadillacs and liquor bottles,캐딜락과 술병들
You got what I need (I got what you need),넌 내가 필요한 걸 가졌어 (난 네가 필요한 걸 가졌어)
So I cut you off,그래서 난 널 잘라냈어
"Cause I'm a wandering man"", he said to me",난 떠도는 남자야'라고 그가 내게 말했지
But I've got me,그래도 난 내 자신이 있어
"But someday, I'll be living in a big old city",언젠가 난 큰 도시에서 살겠지
I got a condo in Manhattan,맨해튼에 콘도를 갖고 있어
Turn into something beautiful,아름다운 것으로 변해갔지
"Possible candidate, yeah","가능한 후보야, 그래"
"Yeah, I'll be all you need until I'm driving you insanе","그래, 넌 내가 미치도록 필요할 때까지 내가 네 전부일 거야"
Lights will guide you home,빛이 널 집으로 안내할 거야
No lie (gyal yuh never miss),"거짓말 아니야 (걸, 넌 절대 놓치지 않아)"
And now I'm dancing,이제 난 춤추고 있어
"But I don't, I just sit here and wait",하지만 난 그냥 여기 앉아 기다릴 뿐이야
Hey hey hey know I do,헤이 헤이 헤이 나도 그래
"Never know, no, both flying out of here","모르지, 둘 다 여기서 날아갈지도 몰라"
She says whatever,그녀는 뭐든지 말해
"The city dark, city dangerous","도시는 어둡고, 위험해"
When you can't sleep,잠들지 못할 때
Whatever I sing that's what I really mean,내가 부르는 모든 건 내가 진심인 것뿐이야
"Shake dat body, lemme see you just do it","그 몸을 흔들어, 그냥 해보여줘"
Your time is running out,네 시간이 다 되어간다
"Whoa-oa, whoa-oa","워-오아, 워-오아"
Now you know what you gotta do,이제 네가 뭘 해야 할지 알잖아
And kissed my lips with goodbye,그리고 내 입술에 작별을 남겼지
The monsters running wild inside of me,내 안의 괴물들이 거칠게 달려
Resentment that turned into a deep depression,후회가 깊은 우울증으로 변했어
(I'm so) Starstruck,(난 너무) 반했어
Maybe you can spend the night,아마 너는 밤을 보낼 수 있을 거야
"Could you do that to me, yeah?",그럴 수 있어?
"I can smell the love in the air, it's a fragrance","공기 중에서 사랑의 향기가 난다, 그건 향수야"
And I know that you may love me,네가 날 사랑할지도 모른다는 걸 알아
To see it through,끝까지 해낼 거야
"Go 'til you get right, mama (it works for me, it works for me, no)","바로잡을 때까지 가, 엄마 (나한텐 맞아, 나한텐 맞아, 아니)"
You're with somebody I can't be,너는 내가 될 수 없는 사람과 함께 있어
"Baby, please have mercy on me","베이비, 제발 나를 불쌍히 여겨줘"
(Could I love him?),(그를 사랑할 수 있을까?)
Why'd I have to break what I love so much?,내가 사랑하는 걸 왜 깨뜨려야 했을까?
"Bring a friend, join the crowd","친구를 데려와, 무리에 합류해"
"You can take me anywhere, baby","넌 날 어디든 데려갈 수 있어, 자기야"
"Disco overload, I'm into that, I'm good to go","디스코 과부하, 그게 좋아, 난 준비됐어"
"I promise this, promise this","이걸 약속해, 약속해"
You just wasted my time,넌 내 시간을 낭비했을 뿐이야
You ended it,넌 끝냈어
Tell me everything that you need to say (need to say),네가 말해야 할 모든 걸 말해줘 (말해야 해)
"I'm right here, I'm right here, yeah","난 여기 있어, 난 여기 있어, 그래"
I don't know how to wake,어떻게 깨울지 모르겠어
I don't know how much to say,얼마나 말해야 할지 모르겠어
Won't you rain on me?,나에게 비를 내려줄래?
Cause you're a criminal as long as you're mine,네가 내 것인 한 넌 범죄자야
Promise I'll never let you down,절대 널 실망시키지 않겠다고 약속해
"Yeah, love came around and it knocked me down","그래, 사랑이 찾아와 날 쓰러뜨렸어"
The smell of your perfume still stuck in the air,네 향수 냄새가 아직 공기 속에 남아 있어
"All that to say, I'm thankful that's not who I am","그 말은, 난 그게 내가 아니라서 감사하다는 뜻이야"
"Now, tell me who's the fairest?","자, 누가 제일 아름다운지 말해줘"
You'll believe God is a woman,넌 신이 여성이라고 믿게 될 거야
"Baby you deserve everything you want, it's your night, oh","베이비, 너는 네가 원하는 모든 것을 받을 자격이 있어, 오늘 밤은 너의 밤이야"
"I'm down on my knee, I wanna please you, baby","무릎을 꿇어, 널 기쁘게 해주고 싶어, 베이비"
Maybe you're the same as me,아마 넌 나와 같을지도 몰라
I can't sleep,잠을 못 자
"He said, ""If you're there come a little closer","그가 말했지, ""네가 거기 있으면 좀 더 가까이 와"
"Now I accidentally need you, I don't know what to do","이제 우연히 내가 널 필요로 하게 되었고, 어떻게 해야 할지 모르겠어"
Butterflies,설렘을
"If I woulda known it, baby","그걸 알았더라면 좋았을 텐데, 베이비"
Promise I won't let you down,실망하게 하지 않겠다고 약속해
And now it's all too late so you see,"이제는 너무 늦었어, 그래서 알지"
"I just like hanging out with you, all the time",난 그냥 항상 네랑 같이 있는 게 좋아
Like this pussy designed for ya,이건 널 위해 설계된 몸 같아
You been looking for,네가 찾고 있던 거야
You give me purpose in every way,넌 모든 면에서 내게 목적을 줘
Ain't it good to know,좋지 않아? 알아두면
"In your birthday suit, I'ma give you what you fiend, oh","네 생일 옷차림으로, 내가 네가 원하는 걸 줄게, 오"
Fly through the sky in my Superman cape,슈퍼맨 망토를 입고 하늘을 날아다녀
I'm tired of talking on my phone,난 전화로 말하는 게 지겨워
Love,사랑
"You say you're sorry, but it's too late now","미안하다고 말하지만, 이제는 너무 늦었어"
"They don't want my love, they just want my potential","그들은 내 사랑을 원하지 않아, 내 가능성만 원해"
"Yeah, it's gooder than Meagan, you look good when you beggin","그래, 메간보다 더 좋아, 넌 빌 때 더 멋져 보여"
Rushing through her veins like it's ecstasy (oh no),마치 황홀처럼 그녀의 혈관을 달려
Do you read my interviews?,내 인터뷰 읽어?
I know when it's time to go,이젠 떠나야 할 때라는 걸 알아
Santa Claus is coming,산타클로스가 오고 있어
Cause I'm not planning on going solo,난 혼자 갈 계획이 아니야
"Oh, my baby please","오, 내 사랑 제발"
You don't know how lovely you are,네가 얼마나 사랑스러운지 넌 몰라
"The mistletoe is where, I'll be waiting kiss me there","겨우살이 아래, 거기서 기다릴게 내게 키스해 줘"
"Show up, now if you're down to, roll up (roll up)","나오렴, 준비됐으면, 굴러와 (굴러와)"
"Wanna turn a page, wanna rearrange","장도 넘기고 싶고, 정리하고 싶어"
"Darker the berry, sweeter the fruit","베리가 어두울수록, 열매는 더 달콤해져"
"Show me your teeth, whoa (my religion is you) oh","네 이빨을 보여줘, 워 (내 종교는 너야) 오"
"Work it, I'm a free bitch, baby","해봐, 난 자유로운 년이야, 베이비"
It's been said and done,"이미 말해지고, 이루어졌어"
(Never let you go) Whoa,(절대 놓지 않을게) 와
La vida da vuelta' y el mundo e' redondo,"인생은 돌고, 세상은 둥글어"
We got all we need right here,우린 여기서 필요한 모든 걸 가졌어
"Ooh-ooh-ooh-ooh, woah","우우-우우-우우-우우, 워어"
He's the reason for the teardrops on my guitar,그는 내 기타 위 눈물의 이유야
And every vow you break,그리고 네가 깨뜨리는 모든 맹세
"I dream it all the time, girl","난 항상 널 꿈꾸지, 소녀야"
Down the corner of my street,내 거리 모퉁이에서
Trade it for a halo,후광으로 바꿔버려
I'm tryna get ghost,난 유령이 되려 해
Getting back together,다시 함께하지 않아
I don't wanna miss out on the holiday,휴일을 놓치고 싶지 않아
Like a fever that feels so right,정말 옳게 느껴지는 열병처럼
"My guillotine, drank promethazine (drank prometh')","내 단두대, 프로메타진을 마셔 (마셔)"
"But don't look back in anger, I heard you say","하지만 분노에 젖어 뒤돌아보지 마, 네가 그렇게 말하는 걸 들었어"
But did you know that I loved you?,하지만 내가 널 사랑했다는 걸 알았니?
Burning it down,불태워 버려
Squeeze all of that into my coupe,그걸 내 쿠페에 꽉 채워줘
"I'm right here, I'm right here, yeah","난 바로 여기 있어, 난 바로 여기 있어, 그래"
I like boys and that is that,"난 소년들을 좋아해, 그게 전부야"
"I can't believe it, can't believe it, uh","믿을 수가 없어, 믿을 수가 없어, 어"
So won't you please let me be,그러니 제발 날 내버려 둬
In your mind you will find,네 마음속에서 찾게 될 거야
"I've tried to ask myself, ""Should I see someone else?","스스로에게 물어봤어, ""다른 사람을 만나야 할까?"
Your daddy can't even look me in the eye,네 아빠는 내 눈을 똑바로 보지도 못해
I just can't say I don't love you,난 널 사랑하지 않는다고 말할 수 없어 (그래)
"I turned into the man I used to be, to be",난 예전의 남자로 다시 돌아왔어
