en,ko
Your touch is like the daylight,네 손길은 햇빛 같아
And he just happened to come at the right time,그가 마침 적절한 때에 나타났을 뿐이야
It's slander,그건 중상모략이야
And on my shoulder he asked me why,그가 내 어깨에 기대 와서 왜 그러냐고 물었어
Cause all I ever wanted was love,내가 원했던 건 오직 사랑뿐이었어
"One time, I took a swim in the Nile (one time, I took in a swim in the Nile)","한 번, 난 나일강에서 수영했어 (한 번, 나일강에서 수영했어)"
That everything is possible,모든 것이 가능하다는 것.
But I love it when you're awfully quiet,하지만 난 네가 너무 조용할 때가 좋아
All the colours of love and of life evermore,"사랑과 삶의 모든 색채를, 영원히"
But I know right nowᅠ,하지만 난 지금 알겠어ᅠ
"She got it bad, she got it bad","그녀는 크게 상처받았어, 정말 상처받았어"
You take up every corner of my mind (what ya gon' do now?),넌 내 마음 구석구석을 차지해 (이제 넌 뭐 할래?)
Cause if you think I care about you now,만약 네가 내가 지금도 네 걱정을 한다고 생각한다면
"Ain't no emoji, cry him only, ah","이모티콘 따윈 없어, 그를 울리기만 해, 아"
Billie Jean is not my lover (she says I am the one),빌리 진은 내 연인이 아냐 (그녀는 내가 그 사람이라 말해)
You had finally made decision to hold me against my will,넌 마침내 내 의사와 상관없이 날 붙잡기로 결심했어
"Oh but baby please, please, please, please, please","오 하지만 베이비 제발, 제발, 제발, 제발, 제발"
Am I losin' my mind?,내 정신을 잃어가나?
"I want your love, and I want your revenge","난 네 사랑을 원해, 그리고 네 복수를 원해"
Who's the next for you to resurrect?,다음에 네가 부활시킬 사람은 누구야?
"I'm scared to get close, and I hate being alone","가까워지는 게 두렵고, 혼자인 게 싫어"
Gotta get my ways together (get your shit together),내 방식을 다잡아야 해 (정신 차려)
Que nos vamos en un viaje escondido,우린 몰래 여행을 떠날 거라는 걸
"I've been gone, ay","난 사라져 있었어, 에이"
Just put your trust in my heart,내 마음을 믿어줘
"Don't look at me, you got a girl at home","날 보지 마, 네게는 집에 여자가 있어"
So move over darling,내 마음이 휘어질 땐
"Like I'm James Dean, I'ma die when I'm young","마치 제임스 딘처럼, 난 어릴 때 죽을 거야"
Build a house or sink a dead body,집을 지을지 시신을 처분할지
"I couldn't see her for the final time, her funeral's tonight","마지막으로 그녀를 볼 수 없었어, 장례식은 오늘 밤이야"
But I ain't trying to be the best,하지만 난 최고가 되려는 건 아니야
Hoo hoo,후 후
What makes you think that my mind will change?,무슨 근거로 내 마음이 바뀔 거라 생각해?
And this is what I should have said,이게 내가 말했어야 할 말이야
Don't lie to me I'm suicidal anyday,"거짓말하지 마, 난 언제든 자살 생각할 수도 있어"
"But I won't hesitate no more, no more","하지만 난 더 이상 망설이지 않을 거야, 더는"
Than Doris Day,도리스 데이보다
"I got you girl, oh, I got it girl","널 가졌어, 걸, 오, 널 가졌어, 걸"
"I'll follow you, follow you home","난 널 따라가, 집까지 따라가"
You and I,너와 나
"And every time you shine, I'll shine",네가 빛날 때마다 난 빛날 거야
Won't you rain on me?,나에게 비를 내려줄래?
Now you understand that this is not the promised land they spoke of,"이제 네가 이해하길 바래, 여긴 그들이 말하던 약속의 땅이 아니야"
Though the calendar is turning,달력이 넘어가도
That makes me want to give it to you,그게 내가 너에게 주고 싶게 만들어
How can they tell you shit that you've been through?,그들이 네가 겪은 일을 어찌 알겠어?
Cause I'll be gone from here,왜냐하면 난 여기서 떠날 테니까
"Yeah, life is only what you make it","그래, 인생은 네가 만드는 것뿐이야"
Stay out of my shoes,내 처지에 끼어들지 마.
We'll see your footprints next to mine along the road,길 위에서 네 발자국이 내 것 옆에 있겠지
(Baby I want you),"(베이비, 난 널 원해)"
"That's how I feel, act like you know that you are","그게 내 기분이야, 네가 누군지 알아보는 것처럼 행동해"
You gotta step into the daylight and let it go,"넌 빛 속으로 걸어나가야 해, 그리고 놓아줘야 해"
"Shadow is burnt yellow, dance and we turn","그림자는 탁한 노란빛, 춤추며 우리는 돌지"
"Somebody to have, just to know how it feels",느낌이 어떤지 알기 위해서라도 누군가를 가지고 싶어
I'm backing up,난 뒤로 물러서
Will you only feel bad when they find out?,그들이 알아내면 그때만 죄책감을 느낄 거야?
Playin' air guitar on the roof,지붕 위에서 에어 기타 치고
Too hurt to hang out,너무 상처받아 어울릴 수도 없어
You gotta find a little fire,너는 작은 불꽃을 찾아야 해
"And even now, baby, I'm still not okay","그리고 지금도, 자기야, 난 아직 괜찮지 않아"
I live my life in the city,난 도시에서 내 삶을 살아
"Telling you to keep walking on, and","계속 걸어가라고 말하면서, 그리고"
I'm busy,나 바빠
"I'ma find me a ring and pray it's perfect fitted (Perfect, perfect)","난 내게 꼭 맞는 반지를 찾아 기도할 거야 (완벽하게, 완벽하게)"
And meet me in my boudoir,내 침실에서 날 만나줘
"Boys, Boys, Boys","소년들, 소년들, 소년들"
"Cause I'm a giver, it's only nature","왜냐면 난 주는 사람이니까, 그건 자연스러운 일이야"
Drive 'round listening to Shady like,셔디(Shady)를 들으며 드라이브했지 (오)
It isn't great but it's something we can improve upon,"완벽하진 않아도, 우리는 더 나아질 수 있어"
Never made it as a wise man,현자처럼 살진 못했어
These five words in my head,내 머릿속에 맴도는 다섯 단어
Falling in the cracks,부서져 가
"That is everything, that is everything","그게 전부야, 그게 전부야"
Everybody knows a turkey and some mistletoe,모두가 칠면조와 겨우살이를 알고 있어
"(Come on) ooh, twerk it on me slowly","(어서) 오, 천천히 날 유혹해"
I'll never be alone,난 절대 혼자 있지 않을 거야
"Nah, baby (nah, baby)","아니, 자기야 (아니, 자기야)"
Never gonna get me out alive,날 살아서 꺼내진 못할 거야
I know that every time I go,"난 알아, 내가 갈 때마다"
Let me be!,날 그냥 두지 않겠니!
And I'd doubt if it's ever mine,그리고 그게 언젠가 내 것일지 의문이 들어
I don't care 'cause I'm not there,"난 신경 안 써, 내가 거기 없으니까"
"Yeah, breakfast at Tiffany's and bottles of bubbles","그래, 티파니에서의 아침과 샴페인 병"
But we got bills to pay,하지만 우린 청구서를 내야 해
Because now it's onto me,왜냐면 이제 그건 나에게 달렸으니까
It's like they want me to be perfect,마치 그들이 날 완벽하길 원하는 것 같아
"I wanna hold 'em like they do in Texas, please","텍사스에서처럼 카드를 움켜쥐고 싶어, 제발"
It's hot to feel the rush,그 전율을 느끼는 건 뜨거워
"My love, there's no need to hide","내 사랑아, 숨길 필요 없어"
Find a place to feel good (ow!),기분 좋은 곳을 찾을 수 있어 (오우!)
"Could've been what we should've been, but you lost a bet, now you gotta find me","우리가 됐어야 했던 게 될 수도 있었는데, 네가 내기를 져서 이제 날 찾아야 해"
"And I could lie, say I like it like that, like it like that","그리고 난 거짓말할 수도 있어, 그게 좋다고 말할 수도 있어, 그렇게 좋아한다고"
"Get down, get down, get down, get down (look at me)","몸을 낮춰, 낮춰, 낮춰, 낮춰 (날 봐)"
All my visions go into like,내 모든 환상은 그렇게 흘러가
"I got white girls blushin', homie, college girls rushin' on me","하얀 여자들이 얼굴 붉히게 해, 친구야, 대학생들이 내게 몰려와 (우)"
"If it's love you want again, don't waste your time (don't you waste)","다시 사랑을 원한다면, 시간 낭비하지 마 (낭비하지 마)"
More I get through the gears,기어를 더 올릴수록
Anywhere else is hollow,다른 곳은 다 공허해
We got something better,우린 더 좋은 걸 가지고 있어
And I'm covered in you,그리고 난 너로 뒤덮였어
This joy is electric,이 기쁨은 전기 같아 (음)
"Yes, yes","그래, 그래"
Maria come on back to me girl,"마리아, 제발 내게 돌아와줘"
Every word that I say is coming straight from the heart,내가 하는 말은 전부 진심이야
"Ooh, ooh",오오
What the fuck these bitches on?,도대체 이 년들은 뭐야?
What goes around comes around,가는 건 돌아오게 마련이야
Want your bad romance,네 거친 사랑을 원해 (오-오-오)
But if you're taking me at my word,하지만 네가 내 말을 그대로 믿는다면
You and I were meant to fly like rockets in the night,너와 나는 밤하늘 로켓처럼 날도록 태어났어
"Hey, baby, do what you want","헤이, 베이비, 네가 하고 싶은 대로 해"
I really should've known that good things don't last,좋은 것들은 오래가지 않는다는 걸 정말 알았어야 했어
"Otra baby me escribe, nunca le respondo (no)","또 다른 여자가 내게 메시지를 보내지만, 난 절대 답하지 않아 (아니)"
"All of a sudden, I'm hypnotized",갑자기 난 최면에 걸린 것 같아
Go on girl! Aow!,"계속해, 걸! 아우!"
"No, he can't read my poker face (she's got me like nobody)","아니, 그는 내 포커 얼굴을 읽을 수 없어 (그녀는 날 아무도 못 하게 만들었어)"
I think I saw you,널 본 것 같아
There's no one standing in your way,아무도 네 길을 막지 않아
I'm gonna need a little more from you,네게서 조금 더 필요해
"One thing I know is that we're in this together, together, oh","내가 아는 건 단 하나, 우린 함께라는 것뿐, 함께야, 오"
You want me close so I hear you,"넌 내가 가까이 있길 원해, 그래서 네 얘길 듣게 돼"
But it's praise that I get,하지만 그 대가로 내가 받는 건 찬사뿐이야
How could this be? You're not here with me,이게 어떻게 가능한가? 넌 내 곁에 없네
And show her that she is my girl,그리고 그녀가 내 여자라는 걸 보여줄 거야
Yeah,그래
"This was what you wanted (oh, oh, oh-oh-oh)","이게 네가 원하던 거였지 (오, 오, 오-오-오)"
Did we really come this far,우리가 정말 여기까지 온 걸까
Think about the place where you first met me,네가 처음 날 만난 곳을 생각해
I miss the emergence and these moments of you,네가 나타난 그 순간들과 순간들이 그리워
Now we know it's nearly over,이제 거의 끝이라는 걸 알겠어
"Show me sweet love, yeah (whoa, whoa, whoa, whoa)","달콤한 사랑을 보여줘, 예 (와, 와, 와, 와)"
You will always love me for that,그걸로 넌 항상 날 사랑할 거야 (어-허)
I will not-,난 그러지 않을 거야-
When he can't seem to choose?,그가 선택을 못할 때?
"Oh, no-no, don't be shy, just take my hand, and hold on tight","오, 아니, 아니, 부끄러워하지 마, 그냥 내 손을 잡고 꽉 붙잡아"
"All these diamonds got me sick, I'm actin' spoiled","이 다이아몬드들 때문에 아파, 난 버릇없이 행동해"
I fell in love with a careless man's careful daughter,난 부주의한 남자의 신중한 딸과 사랑에 빠졌어
"See, I gave you faith turned your doubt in to hoping, can't deny it","봐, 난 널 믿게 했고 네 의심을 희망으로 바꿨지, 부정할 수 없어"
Come on back,돌아와줘
You can fly away with me tonight,오늘 밤 나와 함께 날아가도 돼
Biding your time,때를 기다리며
People like you always want back the love they gave away,너 같은 사람들은 늘 주었던 사랑을 되찾고 싶어 해
"Ooh-oh, ooh-ooh","우-오, 우-우"
"Now I'll never, never get to clean up the mess I made, oh","이제 난 내가 만든 엉망을 절대 치울 수 없을 거야, 오"
"Baby, you could be a star, oh yeah","베이비, 넌 스타가 될 수 있어, 오 예"
I feel so extraordinary,난 너무 특별한 기분이 들어
I'ma leave the door open,문 열어둘게
It's in your lips and in your kiss,"너의 입술 속에, 너의 키스 속에 있어"
In all honesty I got time to be copacetic until,솔직히 난 평온할 시간은 있어
I'mma take another ride,난 또 한 번 달려갈 거야
So I guess I gotta stay now,그래서 이제 머물러야 할 것 같아
"But, not everything works out, no","하지만, 모든 게 잘 풀리진 않아, 아니"
"Oh, there'd better be a mirrorball for me","오, 제발 나를 위한 거울볼이 있길"
Imagine a world,그런 세상을 상상해봐
"Fireflies, a million little pieces","반딧불, 수백만 개의 작은 조각들"
"I got you, moonlight, you're my starlight (you are my starlight)","난 네가 있어, 달빛, 넌 내 별빛 (넌 내 별빛이야)"
You're in the kitchen hummin' (you're in the kitchen hummin'),넌 부엌에서 흥얼거려 (넌 부엌에서 흥얼거려)
So you can forget the look deep in my eyes,그래야 네 눈 깊은 곳을 잊을 수 있겠지
When I'm with anybody else,다른 누구와 있을 때보다
"Never let you go, never let me down","널 절대 놓지 않을게, 날 절대 실망시키지 마"
Can you hear the silence?,침묵이 들리니?
My house clean (house clean),내 집은 깨끗해 (깨끗해)
You take all my inhibitions,넌 내 모든 억제력을 가져가
"To come clean, I said (to come clean is)","깨끗해지는 것, 내가 말했어 (깨끗해지는 것은)"
I once believed love would be burning red,한때 사랑은 타오르는 빨강일 거라 믿었어
You never want to know how much you weight,넌 네 몸무게가 얼마인지 알고 싶어 하지 않아
"Oh, yeah","오, 예"
Mi love it when yuh bend and fold it,네가 구부리고 접는 모습이 좋아
Cause I just need one more shot at forgiveness,왜냐하면 난 용서받을 한 번의 기회가 더 필요하거든
Held by the song that gave me a name,내게 이름을 준 노래에 안겨
My house clean (house clean),내 집은 깨끗해 (집 깨끗해)
I used to be all you need,난 네가 필요로 하던 전부였지
"Get, getting no peace, oh","평화가 없어, 오"
"And everything's gonna be alright, ai-ai-ai-a'ight","모든 게 괜찮을 거야, 괜찮아"
And stop crying your heart out,그리고 네가 가슴을 울리며 울음을 멈춰
"I won't bite , unless you like (unless you like)","난 물지 않아 (아-아), 네가 원하면 (네가 원하면)"
"Can't let it be you in my way, so I","넌 내가 막을 수 없는 존재야, 그래서 난"
"I'm not a saint, that's easy to tell","난 성자가 아냐, 그건 뻔히 보여"
Tryna even the score,균형을 맞추려고 해
When I run out of road,길이 다할 때
Daddy works a long day,아빠는 하루 종일 일해
She ch-ch-ch-ch-choosing the squad,그녀는 팀을 고르고 있어
You're a clever girl and you're smart,넌 똑똑하고 영리한 소녀야
"Every time you clock in the morning, I feel you just want to kill",네가 아침에 출근할 때마다 난 네가 살인을 저지르고 싶어 하는 것 같아
"Oh, I never knew you were the someone waiting for me","오, 난 네가 나를 기다리던 사람이었다는 걸 몰랐어"
"Only you to trust, only you","오직 너만 믿어, 오직 너만"
For when I miss you in the winter,겨울에 네가 그리울 때를 위해
"Deceitful eyes, she's got those come get me thighs","속이는 눈, 그런 날개까지 가진 그녀"
Who's gonna be the one to fight for it?,누가 그걸 위해 싸울 거야?
It was still bigger than me (still bigger than me),그건 여전히 나보다 더 컸어 (여전히 나보다 더 컸어)
We're better off being together (hold my hand),우린 함께 있는 편이 더 낫지 (내 손 잡아)
He's more than a man and this is more than love,그는 단순한 남자가 아니고 이건 단순한 사랑이 아니야
"I swear, I know you do","맹세해, 난 알아"
In your eyes (Your eyes),네 눈 속에서 (네 눈 속에서)
"Dry as a bone, but I just wanna shout","뼈처럼 말라 있지만, 난 그냥 소리치고 싶어"
"Uh, I wanna get to know ya (I wanna get to know ya)","어, 널 알고 싶어 (널 알고 싶어)"
I'mma tell 'em all that you could,난 모두에게 말할 거야 네가 할 수 있다고
And all I've seen since 18 hours ago,그리고 18시간 전부터 내가 본 모든 것
What's the point in saying 'rescue me' if no one ever hears?,아무도 듣지 않을 텐데 '날 구해줘'라고 말하는 게 무슨 의미가 있지?
"With you, under the mistletoe","너와 함께, 겨우살이 아래에서"
(Kilome-kilome-kilome-me-me-me),(킬로메-킬로메-킬로메-메-메-메)
But what you did was just as dark,하지만 네가 한 일도 똑같이 어두웠어
"I'm just scared that I'll end up, I'll end up, I'll end up alone","난 그냥 결국, 결국, 결국 혼자가 될까봐 겁나"
Does he love you the way I can?,그가 너를 내가 할 수 있는 방식으로 사랑하나?
"Nobody knows the weight that's on her shoulders, said","아무도 그녀 어깨 위의 무게를 모를 거야, 말했잖아"
"Below me, they hate, too gruesome, cut to commercial break","내 아래 있는 놈들, 잔혹해, 화면 전환처럼 잘려나가"
Oh-oh-oh-oh-oh,오-오-오-오-오
Ever since the d-day y-you went away (someone tell me how),"그날 이후로, 네가 떠난 그날 이후로 (누가 내게 좀 말해줘)"
That's it,그게 전부야
We're monumental tremors that can freeze the speed of life,우리는 인생의 속도를 멈출 수 있는 거대한 진동이야
From everything we had,우리가 가졌던 모든 것에서부터
So we better go get,그러니 어서 가서 가져오자
And everyone seems fine,그리고 모두 괜찮은 듯해
(I need you the most),(네가 가장 필요해)
Jump in the Cadillac,캐딜락에 뛰어올라
"You flashback to when we said, ""Forever and always","넌 우리가 ""영원히, 언제나""라고 말하던 때를 떠올려"
"We are young, we are gold","우린 젊고, 우린 빛나"
You know I'm like a ghost,넌 내가 유령 같다는 걸 알지
Driving the edge of a knife,칼날 끝에서 운전하며
Oh-oh,오-오 (그래)
You're my lady and I love you girl,"넌 내 여인이야, 사랑해, 소녀야"
To pluck the feathers off all the birds,모든 새의 깃털을 뽑아
On a warm San Franciscan night,따뜻한 샌프란시스코의 밤에
Do things my own way darlin,"내 방식대로 할 거야, 자기야"
I only fuck you when it's half past five,난 5시 반에만 너와 섹스해
"And in this perfect weather, it's like we don't remember","이 완벽한 날씨 속에서, 마치 우린 기억하지 못하는 것 같아"
Sleep in the back of a beat-up car,낡은 차 뒷좌석에서 자
"Wait (Up), here in my summer feeling","잠깐 (올라), 여름의 감정을 느끼고 있어"
If you know how to be my lover (be my),내 연인이 되는 법을 안다면 (내가 되어줘)
"This is why we can't have nice things (oh, no), darlin' (and here's to my real friends)","그래서 우리가 (오) 멋진 것들 (오, 안 돼), 자기야 (진짜 친구들에게 건배) 가질 수 없는 거야"
That's the best you can be,그게 네가 될 수 있는 최고의 모습이야
Cause you burn with the brightest flame,왜냐면 너는 가장 밝게 타오르니까 (그래)
"You just want attention, you don't want my heart","넌 그저 관심을 원할 뿐, 내 마음은 원하지 않아"
And when she rings you up,그녀가 네게 전화를 걸면
"Baby, no te quede' calla'a","자기야, 가만히 있지 마"
"Baby, you could be a star","베이비, 넌 스타가 될 수 있어"
I was choking in the crowd,군중 속에서 숨이 막혔어
All the shit you've done,네가 저지른 모든 쓰레기 같은 일들
"Billie Jean is, Billie Jean is","빌리 진은, 빌리 진은"
"Can stop me, baby (no, no, baby)","날 막을 수 없어, 베이비 (아니, 아니, 베이비)"
And I can be your last,그리고 난 네 마지막이 될 수 있어
"Ciao adios, I'm, I'm done","차오 아디오스, 난, 난 끝났어"
"Baby, believe me oh","자기야, 날 믿어줘 오"
And I only spit heat 'cause I'm playin' for the Son,그리고 난 아들(주님)을 위해 연주하니까 불을 뿜어
Can't unmiss you and I need you now,"널 잊을 수 없어, 지금 네가 필요해"
The other on my heart,다른 건 내 가슴 속에 남아 있어
"Want it all the time, need it everyday","항상 원해, 매일 필요해"
"If I let you in my circle, you a winner",내 원 안에 들어오면 넌 승자야
What was all of it for?,그 모든 게 다 뭐였던 걸까?
"So when they doing last call, glass tall mines raised",마지막 주문 외칠 때 잔을 높이 들어
"Who's laughing, baby?","누가 웃고 있지, 자기야?"
Just might call my ma-ma-ma,엄마한테 전화를 할지도 몰라
How did we get into this mess? Got so aggressive,어떻게 우리가 이런 엉망이 됐을까? 너무 격해졌네
We'd be so fantastical,우린 정말 환상적일 거야
"Judas, Juda-ah-ah, Judas, Juda-ah-ah","유다, 유다-아-아, 유다, 유다-아-아"
Really just a waste of time,정말 시간 낭비일 뿐이야
I know where ever I go,내가 어디를 가든지 알아
All our fears became our hopes,우리의 모든 두려움이 희망으로 변했어
"Oh, you know I would go the distance","오, 난 어디든 갈 거야"
Let me love you,널 사랑하게 해줘
And I feel so damn lucky,난 정말 운이 좋다고 느껴
(We don't talk anymore) Don't wanna know,(우린 더 이상 말하지 않아) 알고 싶지 않아
"I ain't a player,I just (Player, I just … )","난 플레이어가 아니야, 난 그냥 (플레이어, 난 그냥 … )"
Cause I know you got a bad reputation,넌 안 좋은 평판이 있다는 걸 알아
baby it's alright,"베이비, 괜찮아"
You've made me realize my deepest fear,넌 내가 가장 두려워하는 걸 깨닫게 했어
Turn away 'cause I need you more,"외면하지 마, 난 네가 더 필요하니까"
"We all need a soul to rely on, a shoulder to cry on","우리에겐 의지할 영혼이 필요해, 울어도 되는 어깨가 필요해"
Cause we're having too much fun,우린 너무 재밌게 놀고 있으니까
"Feeds the dying light, and breathes me back to life","희미해지는 빛을 채우고, 날 다시 숨 쉬게 해"
I'm hooked on you,난 너에게 중독됐어
"If I was your boyfriend, I'd never let you go, baby","내가 네 남자친구라면, 절대 널 놓지 않을 거야, 베이비"
You know,알잖아
My heart remembers when (my heart remembers when),내 심장은 그때를 기억해 (내 심장은 그때를 기억해)
Never love again,다시는 사랑하지 않을 거야
"Cause it's you, oh, it's you","왜냐면 그건 너니까, 오, 그건 너야"
One moment with you?,너와 함께한 단 한 순간?
People say it's just a waste of time,사람들은 그저 시간 낭비라고 말해
Sing it to the world,그 노래를 세상에 불러
"Gone from the codeine, 'methazine, lean","코데인과 메타진에서 멀어져, 린에서 멀어져"
"Wall telling me they full of pain, resentment",벽은 고통과 후회로 가득 차 있다고 내게 말해
It's easy to lose your self-control,자제심을 잃기 쉬워
You know exactly what to do,넌 무엇을 해야 할지 완벽히 알고 있어
"And I cannot text you with a drink in my hand, eh?","손에 술잔을 들고는 너에게 문자도 보낼 수 없어, 에?"
"I wanna be first, yeah","내가 첫 번째가 되고 싶어, 그래"
(Love you forever with all my heart),"(영원히 널 사랑할게, 내 모든 마음으로)"
Can we get back what we had yesterday?,우리가 어제 가졌던 걸 되찾을 수 있을까?
"You men eat your dinner, eat your pork and beans","너희 남자들은 저녁을 먹고, 콩이랑 돼지고기를 먹지만"
Got a bow on my panties because my ass is a present,"내 속옷엔 리본이 달려 있어, 내 엉덩이는 선물이니까"
But I'll never let you back to put it out,하지만 널 다시 불 끄게 두지 않을 거야
"Drive out of the city, away from the crowds","도시를 벗어나, 군중에서 멀리"
She worth every dollar and she worth every minute,그녀는 매 달의 가치가 있고 매 순간의 가치가 있어
So promise you'll never change,그러니 절대 변치 않겠다고 약속해줘
I just hope that one day,난 그저 언젠가
You looked me in the eye and told me you loved me,넌 내 눈을 보고 날 사랑한다고 말했어
"Cause every time I'm with you, I go into a zone","왜냐하면 너와 함께 있을 때마다, 난 다른 세상에 들어가니까"
So golden and opportune,너무 황금빛이고 기회가 가득해
Where I'm losing all control,내가 모든 통제를 잃고 있는 곳
"In the news today, from the strange and weird fact file","오늘 뉴스 속에서, 이상하고 기괴한 사실 파일에서"
I got my first real six-string,내 첫 진짜 여섯 줄 기타를 가졌어
So do you wanna walk me to the car?,그러니 네가 날 차까지 데려다주고 싶어?
Where my monsters like to hide,내 괴물들이 숨기 좋아하는 곳을
You'd be here by now,넌 지금쯤 여기 있겠지
Played it 'til my fingers bled,손가락이 피날 때까지 연주했어
But I know that you'll hurt,하지만 네가 상처받을 거라는 걸 알아
Your papa-paparazzi,네 파파-파파라치가
Say wassup,인사해봐
Never thought that I would actually miss you (no!),널 진짜로 그리워하게 될 줄은 몰랐어 (아니!)
You came to rain a flood,넌 홍수를 내리러 왔어
You'll be alright,넌 괜찮을 거야
I don't wanna miss out on the holiday,휴일을 놓치고 싶지 않아
"Po-po-po-poker face, fu-fu-fuck her face","포-포-포-포커 페이스, 푸-푸-퍽 허 페이스"
"Maybe I stare too much, maybe not long enough","아마 내가 너무 오래 바라볼지도 몰라, 어쩌면 충분히 오래는 아닐지도"
And I lived in your chess game,그리고 난 네 체스 게임 속에서 살았어
Why were you somewhere else,왜 넌 다른 데 있었어
"And so once it explodes, you'd better hold on","그리고 한 번 폭발하면, 꽉 붙잡아야 해"
"Yeah, you're driving me crazy","그래, 넌 날 미치게 해"
With some superhuman gifts,어떤 초인적인 선물들과 함께
Tell my brother please not to look for me,"형제여, 제발 날 찾지 말라고 전해줘"
Codeine by the pool while I write raps,수영장 옆에서 코데인 마시며 랩을 쓰지
La-la-la,라라
Diamonds in my eyes,내 눈 속의 다이아몬드들
"Oh-oh, on you","오-오, 네게"
But if you just believe there's no way we can fall,"하지만 단지 믿기만 한다면, 우린 절대 무너지지 않아"
Come out and haunt me,나와서 날 괴롭혀줘
Leather and jeans,가죽과 청바지
"And I'm lovin' every second, minute, hour","그리고 난 매 초, 매 분, 매 시간이 사랑스러워"
"My big mouth, mmy big name","내 큰 입, 내 큰 이름"
"In your eyes, I see something to believe in",네 눈에 난 믿을 무언가를 봐
I took a shot,총을 쐈어
